category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,11,1.0,2000-11-01
Alkoholunfälle,insgesamt,2001,11,0.8823529411764706,2001-11-01
Alkoholunfälle,insgesamt,2002,11,-0.0588235294117645,2002-11-01
Alkoholunfälle,insgesamt,2003,11,-0.0588235294117645,2003-11-01
Alkoholunfälle,insgesamt,2004,11,0.21568627450980404,2004-11-01
Alkoholunfälle,insgesamt,2005,11,-0.13725490196078427,2005-11-01
Alkoholunfälle,insgesamt,2006,11,0.0980392156862746,2006-11-01
Alkoholunfälle,insgesamt,2007,11,-0.37254901960784315,2007-11-01
Alkoholunfälle,insgesamt,2008,11,-0.7254901960784312,2008-11-01
Alkoholunfälle,insgesamt,2009,11,-0.5686274509803921,2009-11-01
Alkoholunfälle,insgesamt,2010,11,-0.6862745098039214,2010-11-01
Alkoholunfälle,insgesamt,2011,11,-0.21568627450980382,2011-11-01
Alkoholunfälle,insgesamt,2012,11,-0.6078431372549018,2012-11-01
Alkoholunfälle,insgesamt,2013,11,-0.4117647058823528,2013-11-01
Alkoholunfälle,insgesamt,2014,11,-0.13725490196078427,2014-11-01
Alkoholunfälle,insgesamt,2015,11,-0.6078431372549018,2015-11-01
Alkoholunfälle,insgesamt,2016,11,-0.9999999999999999,2016-11-01
Alkoholunfälle,insgesamt,2017,11,-0.49019607843137236,2017-11-01
Alkoholunfälle,insgesamt,2018,11,-0.5686274509803921,2018-11-01
Alkoholunfälle,insgesamt,2019,11,-0.6470588235294117,2019-11-01
Alkoholunfälle,insgesamt,2020,11,-0.8823529411764705,2020-11-01
