category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,6,0.09090909090909083,2000-06-01
Alkoholunfälle,insgesamt,2001,6,0.49090909090909074,2001-06-01
Alkoholunfälle,insgesamt,2002,6,0.709090909090909,2002-06-01
Alkoholunfälle,insgesamt,2003,6,0.9999999999999996,2003-06-01
Alkoholunfälle,insgesamt,2004,6,0.12727272727272698,2004-06-01
Alkoholunfälle,insgesamt,2005,6,0.09090909090909083,2005-06-01
Alkoholunfälle,insgesamt,2006,6,-0.12727272727272743,2006-06-01
Alkoholunfälle,insgesamt,2007,6,-0.12727272727272743,2007-06-01
Alkoholunfälle,insgesamt,2008,6,0.05454545454545423,2008-06-01
Alkoholunfälle,insgesamt,2009,6,-0.8545454545454547,2009-06-01
Alkoholunfälle,insgesamt,2010,6,-0.5636363636363637,2010-06-01
Alkoholunfälle,insgesamt,2011,6,-1.0,2011-06-01
Alkoholunfälle,insgesamt,2012,6,-0.41818181818181843,2012-06-01
Alkoholunfälle,insgesamt,2013,6,-0.6363636363636365,2013-06-01
Alkoholunfälle,insgesamt,2014,6,-0.8545454545454547,2014-06-01
Alkoholunfälle,insgesamt,2015,6,-0.5636363636363637,2015-06-01
Alkoholunfälle,insgesamt,2016,6,-0.8909090909090911,2016-06-01
Alkoholunfälle,insgesamt,2017,6,-0.4909090909090912,2017-06-01
Alkoholunfälle,insgesamt,2018,6,-0.5636363636363637,2018-06-01
Alkoholunfälle,insgesamt,2019,6,-0.5272727272727273,2019-06-01
Alkoholunfälle,insgesamt,2020,6,-0.20000000000000018,2020-06-01
