category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,5,1.0,2000-05-01
Alkoholunfälle,insgesamt,2001,5,0.6901408450704225,2001-05-01
Alkoholunfälle,insgesamt,2002,5,-0.07042253521126751,2002-05-01
Alkoholunfälle,insgesamt,2003,5,0.12676056338028174,2003-05-01
Alkoholunfälle,insgesamt,2004,5,-0.15492957746478875,2004-05-01
Alkoholunfälle,insgesamt,2005,5,-0.352112676056338,2005-05-01
Alkoholunfälle,insgesamt,2006,5,-0.21126760563380276,2006-05-01
Alkoholunfälle,insgesamt,2007,5,0.07042253521126773,2007-05-01
Alkoholunfälle,insgesamt,2008,5,-0.09859154929577452,2008-05-01
Alkoholunfälle,insgesamt,2009,5,-0.09859154929577452,2009-05-01
Alkoholunfälle,insgesamt,2010,5,-0.7464788732394365,2010-05-01
Alkoholunfälle,insgesamt,2011,5,-0.49295774647887325,2011-05-01
Alkoholunfälle,insgesamt,2012,5,-0.18309859154929575,2012-05-01
Alkoholunfälle,insgesamt,2013,5,-0.7746478873239436,2013-05-01
Alkoholunfälle,insgesamt,2014,5,-0.9154929577464788,2014-05-01
Alkoholunfälle,insgesamt,2015,5,-0.29577464788732377,2015-05-01
Alkoholunfälle,insgesamt,2016,5,-0.9999999999999999,2016-05-01
Alkoholunfälle,insgesamt,2017,5,-0.8873239436619718,2017-05-01
Alkoholunfälle,insgesamt,2018,5,-0.7464788732394365,2018-05-01
Alkoholunfälle,insgesamt,2019,5,-0.6056338028169013,2019-05-01
Alkoholunfälle,insgesamt,2020,5,-0.5774647887323943,2020-05-01
