category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,4,0.9999999999999998,2000-04-01
Alkoholunfälle,insgesamt,2001,4,0.6226415094339621,2001-04-01
Alkoholunfälle,insgesamt,2002,4,0.5094339622641508,2002-04-01
Alkoholunfälle,insgesamt,2003,4,-0.05660377358490565,2003-04-01
Alkoholunfälle,insgesamt,2004,4,-0.5471698113207548,2004-04-01
Alkoholunfälle,insgesamt,2005,4,-0.4339622641509435,2005-04-01
Alkoholunfälle,insgesamt,2006,4,-0.4339622641509435,2006-04-01
Alkoholunfälle,insgesamt,2007,4,-0.09433962264150941,2007-04-01
Alkoholunfälle,insgesamt,2008,4,-1.0,2008-04-01
Alkoholunfälle,insgesamt,2009,4,-0.2452830188679247,2009-04-01
Alkoholunfälle,insgesamt,2010,4,-0.6981132075471699,2010-04-01
Alkoholunfälle,insgesamt,2011,4,-0.3207547169811322,2011-04-01
Alkoholunfälle,insgesamt,2012,4,-0.6603773584905661,2012-04-01
Alkoholunfälle,insgesamt,2013,4,-0.8867924528301887,2013-04-01
Alkoholunfälle,insgesamt,2014,4,-0.6226415094339623,2014-04-01
Alkoholunfälle,insgesamt,2015,4,-0.8490566037735849,2015-04-01
Alkoholunfälle,insgesamt,2016,4,-0.9245283018867925,2016-04-01
Alkoholunfälle,insgesamt,2017,4,-0.9622641509433962,2017-04-01
Alkoholunfälle,insgesamt,2018,4,-1.0,2018-04-01
Alkoholunfälle,insgesamt,2019,4,-0.5849056603773586,2019-04-01
Alkoholunfälle,insgesamt,2020,4,-0.9622641509433962,2020-04-01
