category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,7,1.0,2000-07-01
Alkoholunfälle,insgesamt,2001,7,0.125,2001-07-01
Alkoholunfälle,insgesamt,2002,7,0.53125,2002-07-01
Alkoholunfälle,insgesamt,2003,7,0.28125,2003-07-01
Alkoholunfälle,insgesamt,2004,7,0.0,2004-07-01
Alkoholunfälle,insgesamt,2005,7,-0.125,2005-07-01
Alkoholunfälle,insgesamt,2006,7,-0.09375,2006-07-01
Alkoholunfälle,insgesamt,2007,7,-0.0625,2007-07-01
Alkoholunfälle,insgesamt,2008,7,-0.46875,2008-07-01
Alkoholunfälle,insgesamt,2009,7,-0.71875,2009-07-01
Alkoholunfälle,insgesamt,2010,7,-0.59375,2010-07-01
Alkoholunfälle,insgesamt,2011,7,-0.875,2011-07-01
Alkoholunfälle,insgesamt,2012,7,-0.34375,2012-07-01
Alkoholunfälle,insgesamt,2013,7,-0.78125,2013-07-01
Alkoholunfälle,insgesamt,2014,7,-1.0,2014-07-01
Alkoholunfälle,insgesamt,2015,7,-0.5625,2015-07-01
Alkoholunfälle,insgesamt,2016,7,-1.0,2016-07-01
Alkoholunfälle,insgesamt,2017,7,-0.46875,2017-07-01
Alkoholunfälle,insgesamt,2018,7,-0.5,2018-07-01
Alkoholunfälle,insgesamt,2019,7,-0.59375,2019-07-01
Alkoholunfälle,insgesamt,2020,7,-0.28125,2020-07-01
