category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,9,0.41025641025641013,2000-09-01
Alkoholunfälle,insgesamt,2001,9,1.0,2001-09-01
Alkoholunfälle,insgesamt,2002,9,1.0,2002-09-01
Alkoholunfälle,insgesamt,2003,9,-0.1282051282051282,2003-09-01
Alkoholunfälle,insgesamt,2004,9,0.28205128205128194,2004-09-01
Alkoholunfälle,insgesamt,2005,9,0.20512820512820507,2005-09-01
Alkoholunfälle,insgesamt,2006,9,-0.10256410256410264,2006-09-01
Alkoholunfälle,insgesamt,2007,9,-0.35897435897435903,2007-09-01
Alkoholunfälle,insgesamt,2008,9,-0.4871794871794872,2008-09-01
Alkoholunfälle,insgesamt,2009,9,-0.4871794871794872,2009-09-01
Alkoholunfälle,insgesamt,2010,9,-0.35897435897435903,2010-09-01
Alkoholunfälle,insgesamt,2011,9,-0.8205128205128206,2011-09-01
Alkoholunfälle,insgesamt,2012,9,-0.4871794871794872,2012-09-01
Alkoholunfälle,insgesamt,2013,9,-0.5384615384615385,2013-09-01
Alkoholunfälle,insgesamt,2014,9,-0.6410256410256412,2014-09-01
Alkoholunfälle,insgesamt,2015,9,-0.5897435897435899,2015-09-01
Alkoholunfälle,insgesamt,2016,9,-1.0,2016-09-01
Alkoholunfälle,insgesamt,2017,9,-0.5384615384615385,2017-09-01
Alkoholunfälle,insgesamt,2018,9,-0.8205128205128206,2018-09-01
Alkoholunfälle,insgesamt,2019,9,-0.5384615384615385,2019-09-01
Alkoholunfälle,insgesamt,2020,9,-0.5641025641025641,2020-09-01
