category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,8,1.0,2000-08-01
Alkoholunfälle,insgesamt,2001,8,0.27659574468085113,2001-08-01
Alkoholunfälle,insgesamt,2002,8,0.7446808510638299,2002-08-01
Alkoholunfälle,insgesamt,2003,8,0.5319148936170213,2003-08-01
Alkoholunfälle,insgesamt,2004,8,0.1914893617021276,2004-08-01
Alkoholunfälle,insgesamt,2005,8,-0.2340425531914896,2005-08-01
Alkoholunfälle,insgesamt,2006,8,-0.2340425531914896,2006-08-01
Alkoholunfälle,insgesamt,2007,8,-0.4042553191489362,2007-08-01
Alkoholunfälle,insgesamt,2008,8,-0.4042553191489362,2008-08-01
Alkoholunfälle,insgesamt,2009,8,-0.7872340425531916,2009-08-01
Alkoholunfälle,insgesamt,2010,8,-0.574468085106383,2010-08-01
Alkoholunfälle,insgesamt,2011,8,-0.8297872340425534,2011-08-01
Alkoholunfälle,insgesamt,2012,8,0.06382978723404253,2012-08-01
Alkoholunfälle,insgesamt,2013,8,-0.6170212765957448,2013-08-01
Alkoholunfälle,insgesamt,2014,8,-0.9148936170212767,2014-08-01
Alkoholunfälle,insgesamt,2015,8,-0.1914893617021276,2015-08-01
Alkoholunfälle,insgesamt,2016,8,-0.8297872340425534,2016-08-01
Alkoholunfälle,insgesamt,2017,8,-1.0,2017-08-01
Alkoholunfälle,insgesamt,2018,8,-0.574468085106383,2018-08-01
Alkoholunfälle,insgesamt,2019,8,-0.9574468085106385,2019-08-01
Alkoholunfälle,insgesamt,2020,8,-0.3191489361702129,2020-08-01
