category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,12,1.0,2000-12-01
Alkoholunfälle,insgesamt,2001,12,0.4722222222222221,2001-12-01
Alkoholunfälle,insgesamt,2002,12,0.38888888888888884,2002-12-01
Alkoholunfälle,insgesamt,2003,12,0.24999999999999978,2003-12-01
Alkoholunfälle,insgesamt,2004,12,0.08333333333333326,2004-12-01
Alkoholunfälle,insgesamt,2005,12,-0.22222222222222232,2005-12-01
Alkoholunfälle,insgesamt,2006,12,0.08333333333333326,2006-12-01
Alkoholunfälle,insgesamt,2007,12,-0.3333333333333335,2007-12-01
Alkoholunfälle,insgesamt,2008,12,-0.38888888888888895,2008-12-01
Alkoholunfälle,insgesamt,2009,12,-0.41666666666666674,2009-12-01
Alkoholunfälle,insgesamt,2010,12,-0.638888888888889,2010-12-01
Alkoholunfälle,insgesamt,2011,12,-0.3333333333333335,2011-12-01
Alkoholunfälle,insgesamt,2012,12,-0.6111111111111112,2012-12-01
Alkoholunfälle,insgesamt,2013,12,-0.4722222222222223,2013-12-01
Alkoholunfälle,insgesamt,2014,12,-0.6666666666666667,2014-12-01
Alkoholunfälle,insgesamt,2015,12,-0.6111111111111112,2015-12-01
Alkoholunfälle,insgesamt,2016,12,-0.8055555555555556,2016-12-01
Alkoholunfälle,insgesamt,2017,12,-0.19444444444444464,2017-12-01
Alkoholunfälle,insgesamt,2018,12,-0.7777777777777779,2018-12-01
Alkoholunfälle,insgesamt,2019,12,-0.38888888888888895,2019-12-01
Alkoholunfälle,insgesamt,2020,12,-1.0,2020-12-01
