category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,2,1.0,2000-02-01
Alkoholunfälle,insgesamt,2001,2,0.8139534883720931,2001-02-01
Alkoholunfälle,insgesamt,2002,2,0.8139534883720931,2002-02-01
Alkoholunfälle,insgesamt,2003,2,0.5813953488372094,2003-02-01
Alkoholunfälle,insgesamt,2004,2,0.7674418604651163,2004-02-01
Alkoholunfälle,insgesamt,2005,2,0.39534883720930236,2005-02-01
Alkoholunfälle,insgesamt,2006,2,0.86046511627907,2006-02-01
Alkoholunfälle,insgesamt,2007,2,0.023255813953488413,2007-02-01
Alkoholunfälle,insgesamt,2008,2,-0.06976744186046502,2008-02-01
Alkoholunfälle,insgesamt,2009,2,0.023255813953488413,2009-02-01
Alkoholunfälle,insgesamt,2010,2,-0.39534883720930236,2010-02-01
Alkoholunfälle,insgesamt,2011,2,-0.3023255813953487,2011-02-01
Alkoholunfälle,insgesamt,2012,2,-0.627906976744186,2012-02-01
Alkoholunfälle,insgesamt,2013,2,-0.7674418604651162,2013-02-01
Alkoholunfälle,insgesamt,2014,2,-0.6744186046511628,2014-02-01
Alkoholunfälle,insgesamt,2015,2,-0.39534883720930236,2015-02-01
Alkoholunfälle,insgesamt,2016,2,-1.0,2016-02-01
Alkoholunfälle,insgesamt,2017,2,-0.44186046511627897,2017-02-01
Alkoholunfälle,insgesamt,2018,2,-0.34883720930232553,2018-02-01
Alkoholunfälle,insgesamt,2019,2,-0.16279069767441845,2019-02-01
Alkoholunfälle,insgesamt,2020,2,0.39534883720930236,2020-02-01
