category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,3,1.0,2000-03-01
Alkoholunfälle,insgesamt,2001,3,0.6610169491525424,2001-03-01
Alkoholunfälle,insgesamt,2002,3,0.5932203389830506,2002-03-01
Alkoholunfälle,insgesamt,2003,3,0.3220338983050848,2003-03-01
Alkoholunfälle,insgesamt,2004,3,0.016949152542372836,2004-03-01
Alkoholunfälle,insgesamt,2005,3,-0.1186440677966103,2005-03-01
Alkoholunfälle,insgesamt,2006,3,-0.1186440677966103,2006-03-01
Alkoholunfälle,insgesamt,2007,3,-0.18644067796610186,2007-03-01
Alkoholunfälle,insgesamt,2008,3,-0.4576271186440679,2008-03-01
Alkoholunfälle,insgesamt,2009,3,-1.0,2009-03-01
Alkoholunfälle,insgesamt,2010,3,-0.423728813559322,2010-03-01
Alkoholunfälle,insgesamt,2011,3,-0.728813559322034,2011-03-01
Alkoholunfälle,insgesamt,2012,3,-0.7627118644067797,2012-03-01
Alkoholunfälle,insgesamt,2013,3,-0.7627118644067797,2013-03-01
Alkoholunfälle,insgesamt,2014,3,-0.22033898305084754,2014-03-01
Alkoholunfälle,insgesamt,2015,3,-0.6949152542372882,2015-03-01
Alkoholunfälle,insgesamt,2016,3,-0.7966101694915255,2016-03-01
Alkoholunfälle,insgesamt,2017,3,-0.2542372881355932,2017-03-01
Alkoholunfälle,insgesamt,2018,3,-0.38983050847457634,2018-03-01
Alkoholunfälle,insgesamt,2019,3,-0.3220338983050848,2019-03-01
Alkoholunfälle,insgesamt,2020,3,-0.5593220338983051,2020-03-01
