category,accidentType,year,month,value,Date
Alkoholunfälle,insgesamt,2000,1,1.0,2000-01-01
Alkoholunfälle,insgesamt,2001,1,0.6065573770491803,2001-01-01
Alkoholunfälle,insgesamt,2002,1,-0.11475409836065587,2002-01-01
Alkoholunfälle,insgesamt,2003,1,0.24590163934426212,2003-01-01
Alkoholunfälle,insgesamt,2004,1,-0.18032786885245922,2004-01-01
Alkoholunfälle,insgesamt,2005,1,0.016393442622950616,2005-01-01
Alkoholunfälle,insgesamt,2006,1,-0.11475409836065587,2006-01-01
Alkoholunfälle,insgesamt,2007,1,-0.37704918032786905,2007-01-01
Alkoholunfälle,insgesamt,2008,1,-0.5081967213114755,2008-01-01
Alkoholunfälle,insgesamt,2009,1,-0.8032786885245903,2009-01-01
Alkoholunfälle,insgesamt,2010,1,-0.9344262295081969,2010-01-01
Alkoholunfälle,insgesamt,2011,1,-0.737704918032787,2011-01-01
Alkoholunfälle,insgesamt,2012,1,-0.8688524590163936,2012-01-01
Alkoholunfälle,insgesamt,2013,1,-1.0,2013-01-01
Alkoholunfälle,insgesamt,2014,1,-0.8688524590163936,2014-01-01
Alkoholunfälle,insgesamt,2015,1,-0.836065573770492,2015-01-01
Alkoholunfälle,insgesamt,2016,1,-0.8688524590163936,2016-01-01
Alkoholunfälle,insgesamt,2017,1,-0.9344262295081969,2017-01-01
Alkoholunfälle,insgesamt,2018,1,-0.836065573770492,2018-01-01
Alkoholunfälle,insgesamt,2019,1,-0.836065573770492,2019-01-01
Alkoholunfälle,insgesamt,2020,1,-0.6393442622950821,2020-01-01
